제목,작성일,본문,문서파일 링크,이미지파일 링크
[강원국제개발협력센터] 2025 강원국제개발협력센터 대학생 공모전 시행 안내(~05.13.),2025.04.28,"강원국제개발협력센터에서 2025년도 [강원국제개발협력센터 대학생 공모전]을 시행합니다.
관심 있는 대학생들의 많은 참여 바랍니다.
1. 참여 대상 : 강원특별자치도 내 대학 학부 재학생
※ 2025학년도 1학기 재학
2. 공모 부문 : 국제개발협력 홍보 콘텐츠/프로그램 기획
강원도민을 대상으로 국제개발협력 이해 증진 및 인식 제고를 위한 홍보 콘텐츠 또는 프로그램 기획
3. 참여 일정
가. 접수기간 : 2025년 4월 30일 (수) ~ 2025년 5월 13일 (화) 23:59까지
나. 1차 발표 : 2025년 5월 19일 (월)
다. 대면심사 : 2025년 5월 23일 (금)
라. 최종발표 : 2025년 5월 26일 (월)
※ 세부 일정은 내부 사정에 따라 변경될 수 있음
4. 접수 방법 :
→ 강원국제개발협력센터 홈페이지 공지사항 또는 포스터 내 QR코드로 접속하여 양식(시행 공고문, 참가신청서) 다운로드 후 참가신청서 작성 [링크] https://url.kr/p41nlz
→ 강원국제개발협력센터 메일(gidcc@kangwon.ac.kr)로 접수 (①참가신청서 및 자료 활용 동의서 ②본인의 2025학년도 1학기 재학증명서 ③PPT 발표자료(8장 이상 12장 이내, 표지∙목차∙인사 등이 포함된 슬라이드 제외))
→ 메일제목과 각 파일명은 다음과 같이 제출
1) 메일제목 : 강원국제개발협력센터 대학생 공모전 서류제출_이름
2) 파일명
① 참가신청서 및 동의서_이름
② 재학증명서_이름
③ 발표자료_이름
5. 시상 내역
- 대상 : 1명 / 상금 30만원
- 최우수상 : 2명 / 상금 각 20만원
- 우수상 : 2명 / 상금 각 10만원
※ 대상 특전: 2025년 국제개발협력 해외 사업 현장 탐방 기회 제공
6. 안내사항
- 센터 사정에 따라 공모전 관련 내용 및 일정이 변경될 수 있음 (변동 발생시 공지사항으로 사전 안내 예정)
- 신청서식은 붙임 서식으로만 인정되며 자필 서명 필수
- 휴학생, 학사학위유예자, 졸업생은 응모 불가능
- 신청서 내 개인정보 미작성 및 오기입에 따른 불이익은 본인에게 있음
- 기타 자세한 사항은 시행 공고문 참조
※ 문의 : 강원대학교 강원국제개발협력센터 033-250-7455~6",https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524257&attachNo=544801,https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524257&attachNo=544800
5월 도서관 이용자 교육 안내,2025.04.28,"일 시 | 교 육 명 | 교 육 내 용 | 장 소 | 신 청
5월 8일(목)10:00 | 도서관200% 활용하기 | 도서관 자료 및 시설이용, 제공 서비스 안내 | 실시간 온라인(Zoom)
5월 14일(수)10:00 | 학술자료검색: 국내 | 도서관 소장 또는 구독중인 국내자료와 타기관 자료의 검색, 활용 방법 안내
5월 15일(목)10:00 | 학술자료검색: 국외(기초) | 도서관 소장 또는 구독중인 국외자료와 타기관 및 외국학술지지원센터 (생명공학분야)이용법 안내
5월 19일(월)10:00 | 학술자료검색: 국외(심화) | Web of Science와 JCR을 중심으로·국외 학술자료 검색방법을 안내
5월 22일(목)14:00 | (★강사초청★)Web of Science+Journal Citation Reports(JCR)+InCites | ·Web of Science: SCI급 저널 및 논문의 서지정보, 인용정보 검색 방법·Journal Citation Reports: 주요 학술저널의 정보 및 영향력 지수 검색·InCites B&A: Web of Science Core Collection 데이터를 기반으로 연구성과 분석 솔루션 활용법 | 미래도서관2층이용자교육실
5월 26일(월)10:00 | (논문작성을 위한)참고문헌작성법: EndNote 활용하기 | EndNote를 활용하여 레퍼런스를수집, 관리, 활용하는 방법 안내 | 실시간 온라인(Zoom)
5월 28일(수)10:00 | (논문작성을 위한)참고문헌작성법: RefWorks 활용하기 | RefWorks를 활용하여 레퍼런스를수집, 관리, 활용하는 방법 안내

도서관에서는 우리대학 구성원의 연구·학습 지원을 위해 도서관 이용 및 학술자료 활용법 등을 포함하여 매월 정기적으로 도서관 이용자 교육을 실시하고 있습니다.
가. 정규교육 일정
나. e-루리 자율강좌
1) 수강기간: 2025. 3. 4. ~ 2025. 6. 20.
2) 정규교육(사서직강)은 e-루리 자율강좌에서 학기 중 상시 수강가능
3) 스마트캠퍼스 e-루리 자율강좌 ⇒[춘천] 1학기 도서관 이용자 교육⇒ 신청(입장하기) ⇒ 원하는 강좌 선택, 수강
다. 참고사항
1) 대면교육은 사전등록 필요(수용가능인원 30명)
2) 정규교육 또는 e-루리 자율강좌 수강완료 시 혜택
가)도서관마일리지 부여(사서직강, 강사초청 및 업체교육, e-루리 자율강좌)
※ 도서관마일리지는 동일 강좌 중복수강 시 높은 점수 부여
(예: <도서관 200% 활용하기> 강좌를 이루리 교육과 대면교육 둘 다 수강 시 높은 점수인 20점 부여)
※ 대면교육 20점, 실시간 온라인 Zoom 10점, e-루리 자율강좌 5점 (연간 최대 100점)
나)비교과마일리지 부여(사서직강, e-루리 자율강좌)
※ 비교과 마일리지는 학기별, 강좌별 1회만 부여
(예: 2025년 1학기에 <도서관 200% 활용하기> 강좌를 이루리 교육과 대면교육 둘 다 수강하여도 비교과 마일리지는 1회만 부여됨)
다)만족도조사 참여자 중 추첨을 통해 소정의 경품 증정(당첨자 개별 안내)",,https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524205&attachNo=544749
2025 동문선배 취업 멘토링 「K-페어링」 프로그램 참여 안내,2025.04.28,"날짜 | 시간 | 프로그램 | 장소 | 비고
5. 7.(수) | 12:00~14:00 (2시간) | 프로그램 OT 및 노션특강 | 글로벌경영관 AMP홀 | *준비물: 노트북*점심(햄버거세트)제공
5. 12.(월)~23.(금) | 세션A | 10:00~11:0013:00~14:30 | 동문선배멘토링활동 | 나래관2층, 취업세미나실, 글로벌경영관 등 | 대기업 및 공공기관 52명 동문멘토와의 취업멘토링 제공
세션B | 14:30~16:0016:00~17:30
5. 23.(금) | 19시~21시 (2시간) | 산업·직무별 면접특강 및 우수멘티 선발 | 온라인(ZOOM)
※ 우수멘티 선발: 수료생중 Notion 우수활용자[대상] 올리브영 상품권 10만원(1명), [최우수상]: 올리브영 상품권 5만원(3명), [우수상]: 스타벅스 상품권 1만원(10명)

강원대학교 대학일자리플러스센터에서는 졸업생들의 직무이해 및 직무역량 강화를 위한 동문선배 취업 멘토링「K-페어링」을 다음과 같이 추진하오니졸업생 및 졸업예정자(現4학년2학기)학생들의 적극 참여바랍니다.
가. 운영기간:2025. 5. 7.(수) ~ 5. 23.(금)
나. 동문선배멘토: 대기업 및 공공기관 52명 ※네이버, SK하이닉스, CJ, 한국관광공사 등
다. 프로그램 내용
- (OT 및 노션특강) 프로그램 안내 및 Notion을 활용한 취업준비법 특강
- (동문선배멘토링 활동) 1:3 멘토링활동/기업·직무소개, 취업노하우, Q&A
- (면접특강 및 우수멘티 선발) 산업·직무별 면접특강 및 우수멘티선발
라. 세부추진내용
- 세부 프로그램 안내 및 참가신청
가. 참가신청:https://www.jobon.co.kr/강원대학교-졸업생특화프로그램-k페어링
나. 문의사항: 대학일자리플러스센터 이해진 컨설턴트 033)250-7763",,https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524199&attachNo=544744
2025년 SAC on MIRAE(2회차) - 발레 「심청」 상영 안내,2025.04.28,"< ‘SAC on MIRAE’ 프로그램이란? >예술의전당(Seoul Arts Center)의우수 공연 예술 작품을KNU미래도서관 스크린을 통해 만날 수 있는 프로그램

도서관에서는 대학 구성원 및 지역주민에게 양질의 문화예술 콘텐츠 향유 기회를 제공하고자 2025년 ‘SAC on MIRAE’(2회차) 프로그램을 운영합니다.
가. 상영작품: 발레「심청」
나.상영일시:2025. 5. 7.(수) 19:00~20:30
다. 상영장소: KNU미래도서관 정강홀(지하1층)
라. 관람대상: 교내구성원, 지역주민 등 누구나
마. 접수기간: ~2025. 5. 7.(수) 09:00
바. 접수방법: 온라인 접수(https://m.site.naver.com/1G90h)
사. 문의전화: 도서관 학술정보운영과 ☎033-250-7621",,"https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524195&attachNo=544737, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524195&attachNo=544738, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524195&attachNo=544739"
「2025 캠퍼스 특허 유니버시아드(CPU) 대회 설명회 개최」 안내,2025.04.28,"강원대학교 지식재산전문인력양성중점대학사업단에서는 특허청에서 주최하는 ‘2025 캠퍼스 특허 유니버시아드(CPU)’ 대회 설명회를 아래와 같이 개최합니다.
1. 설명회 개요
가. 행사명: 2025 캠퍼스 특허 유니버시아드(CPU) 대회 설명회
나. 대상자: 강원지역 대학(원)생 누구나
다. 일 시: 2025. 5. 13.(화) 15:00~16:00
라. 장 소: 강원대학교 춘천캠퍼스 산림2호관 108호
마. 연 사: 정창호 변리사(한국발명진흥회 대회 담당자)
바. 내 용
- 2025 캠퍼스 특허 유니버시아드 대회 및 문제 설명
- 참가 방법 설명
- 답안 작성 전략 및 수상 사례
- Q&A
2. 기타
가. 세부사항 지식재산사업단 홈페이지(kip.kangwon.ac.kr) 학과 공지사항 참조
나.설명회는 신청서 제출 없이 해당 일시에 자유롭게 참석 가능
다. CPU 대회 설명회 이후 IP사업단에서는 CPU 참가 지원 교육 시행 예정","https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524186&attachNo=544724, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524186&attachNo=544725, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524186&attachNo=544727, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524186&attachNo=544728",
2025학년도 KNU 안전지킴이 모집 안내,2025.04.28,"※ KNU안전지킴이 개요- 학생으로 구성된 안전 서포터즈 단체로서 연구실 등 주요시설에 대한 안전점검, 홍보물 제작, 구성원들의 안전 건의사항 취합 등 안전관리 활동 수행- 활동 예정기간 : ’25.5월 ~ 12월 (8개월)- 활동특전 : 활동비 지급(월 최대401,200원), 간담회 경비 지원, 안전문화 체험, 활동우수자 포상- 기타 세부사항은 붙임1. KNU안전지킴이 운영 계획 참조

2025학년도 KNU 안전지킴이를 아래와 같이 모집하오니, 지원바랍니다.
가. 선발인원 : 9명(연구실 및 주요시설 점검 8명, 미디어 및 SNS 계정관리 1명)
나. 지원자격 : 강원대학교 춘천캠퍼스 소속 대학생
다. 선발방법 : 서류심사, 면접심사
다. 지원서 접수 기간 : ’25. 4. 25.(금) ~ 5. 2.(금)
라. 지원서 제출 방법 : 온ㆍ오프라인 접수 중 택 1하여 제출
- 온라인 : 붙임3. 모집 포스터 QR코드 접속하여 지원 양식 작성, 제출
- 오프라인 : 붙임2. KNU안전지킴이 지원서 제출(미래관 803호)
마. 합격자 발표 : 2025. 5. 14.(수), 개별 통보","https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524157&attachNo=544698, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524157&attachNo=544699, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524157&attachNo=544700",
2025학년도 여름 계절수업 시간표 및 수강신청 안내,2025.04.28,"2025학년도 여름 계절수업 시간표 및 수강신청 안내사항을 붙임과 같이 안내합니다.
○ 2025학년도 여름 계절수업 주요일정
- 수업운영(15일간): 6. 25.(수) ~ 7. 15.(화)
- 수강신청: 5. 7.(수) ~ 5. 9.(금)
- 고지서출력 및 등록금 납부: 5. 20.(화) ~ 5. 22.(목)",https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=524027&attachNo=544572,
KIDC 청년중기봉사단 3차 파견 단원 모집 안내,2025.04.28,"[모집기간]
*2025.04.16.(수) ~ 05.12.(월) 오후 4시 마감
[모집개요]
*파견국가: 모로코, 볼리비아, 우즈베키스탄, 스리랑카
*모집인원: 40명
*활동내용: 세계시민교육, 사회정서학습
*활동기간: 총 5개월 (국내 1개월 / 해외 4개월)
*홈페이지 공지: https://iii.ad/f231b9
*온라인 모집설명회: https://iii.ad/62ee5b
*KIDC 청년중기봉사단 블로그: https://blog.naver.com/wfksocial
*KIDC 청년중기봉사단 인스타그램: www.instagram.com/wfk_social/","https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=523694&attachNo=544242, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=523694&attachNo=544243","https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=523694&attachNo=544240, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=523694&attachNo=544241"
[졸업예정자] 취업지원서비스를 위한 오픈채팅방 참여 안내,2025.04.24,"우리대학 졸업생(졸업예정자)의 취업 역량 강화를 위해『졸업생(졸업예정자) 취업지원 서비스』를 위한 오픈채팅방을 개설하여 안내합니다.
1. 대 상: 졸업생 및 졸업예정자(2025.8월 졸업예정)
2. 취업지원 내용
가. 대학일자리플러스센터 컨설턴트 1:1 상담
나. 최신 취업정보 제공(추천채용, 동문멘토링, 1:1직무컨설팅, 채용설명회 등)
다. 취업프로그램 안내(국민취업제도, 온통청년 등)
3. 졸업생 취업지원 오픈채팅방 가입하기
가.https://open.kakao.com/o/gtOlr3fh
나. 비밀번호: jobplus",,https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=514886&attachNo=539536
[글로컬대학사업] 음악이 흐르는 목요도서관 안내,2025.04.23,"프로그램명 | 일 시 | 내용 | 장 소 | 대상
음악이 흐르는 목요도서관 | ‘25. 4. 24. (목)19:00~20:00 | ‘앙상블 백령’의 선율일기 | 미래도서관 미래스퀘어(BF1) | 구성원 지역주민
‘25. 5. 29. (목)19:00~20:00 | 연두빛 저녁, 피아노와 현(絃)의 대화
‘25. 10. 30. (목)19:00~20:00 | 가을의 빛깔, 금빛 바람이 분다
‘25. 11. 27. (목)19:00~20:00 | 겨울의 문장, 보체 디 에끌라의 시(詩)

도서관에서는 ‘지역과 상생하는 강원시민대학’ 프로그램의 일환으로 ‘음악이 흐르는 목요도서관’ 행사를 개최하오니 많은 참석 바랍니다.
1. 프로그램 개요
2. 참여방법: 사전접수·현장접수(QR 활용 사전신청 권장)
3. 기타사항
- 만족도조사 참여 재학생에게 마일리지(도서관·비교과) 부여
4. 문의: 정보서비스팀(☏ 250-8016)",,https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513520&attachNo=539470
