제목,날짜,장소,신청기간,카테고리
[공지],[],,,비교과
[공지],[],,,기타
[공지],[],,,기타
[공지],[],,,채용
[공지],[],,,채용
[공지],[],,,기타
[공지],[],,,기타
[공지],[],,,기타
[공지],[],,,기타
[공지],[],,,기타
[공지],['2022.5.16'],,,국제교류
[공지],[],,,공모전
[공지],[],,,기타
[졸업예정자] 취업지원서비스를 위한 오픈채팅방 참여 안내,[],,,채용
[글로컬대학사업] 음악이 흐르는 목요도서관 안내,[],,,비교과
2025학년도 여름 계절수업 부산대학교 교류수학 안내,[],,,국제교류
"강원대 공자아카데미·송곡대 평생교육원 협력 프로그램 ""중국문화와 AI인문학"" 수강생 모집 안내",[],강원대 공자아카데미 강의실 및 송곡대 평생교육원 실습실,,공모전
2025학년도 1학기 채용 행사 개최 안내 - [펄어비스],[],,,채용
2025학년도 상반기 축제 '찬란(燦瀾)' 행사 안내,"['2025.4.29', '2025.4.30', '2025.4.28']",,,기타
2025년 하계 단기 해외어학연수생 추가 모집 안내,[],,,공모전
[국립대학육성사업] 2025-1학기 「문해력 빌드업 프로그램」 참가팀 모집 안내,[],,"('4. 23.(수) 10:00', '4. 29.(화) 18:00')",비교과
2025년 강원 창업 탄탄대로 아이디어 경진대회 모집 안내(제13회 범정부 공공데이터 활용 창업경진대회),['2025.05.13'],,,공모전
2025학년도 2학기 부·복수전공 신청 안내,[],,"('5. 12.(월) 10:00', '5. 22.(목) 18:00')",기타
